	question	class
46	Kam se obrátit s dotazy k autorskému právu ?	6
47	Kam se obrátit s dotazy k autorským právům?	6
48	Co je to stížnost?	7
49	Co může být předmětem stížnosti?	7
50	Jaký je účel podání stížnosti?	7
51	Kdo může podat stížnost?	7
52	Kdo je oprávněn podat stížnost?	7
53	Kde seznam stížností?	8
54	Kde databázi stížností?	8
55	Kde najdu směrnice k vyřizování stížností?	8
56	Kde najdu reakce Úřadu na stížnost?	8
57	Kde najdu právní předpisy týkající se stížností	8
58	návod k podání stížnosti	8
59	Jak podat stížnost	8
60	jak podat stížnost na neudělení patentu	8
61	Informace o stížnostech	8
62	Co je Věstník?	9
63	Jak často je vydáván Věstník?	10
64	Jaké informace najdu ve Věstníku?	11
65	Jaké informace jsou zveřejňovány ve Věstníku?	11
66	Jsou v Věstníku informace o patentech ?	11
67	Jsou v Věstníku informace o vynálezech?	11
68	Zveřejňuje Věstník informace o ochranných známkách?	11
69	Jsou ve Věstníku informace o zapsaných průmyslových vzorech?	11
70	Jsou v Věstníku údaje o užitných vzorech?	11
71	Jsou v Věstníku informace o užitných vzorech?	11
72	Kde mohu najít Věstník?	12
73	Kde najdu Věstník?	12
74	Kde najdu právní předpisy týkající se ochrany průmyslového vlastnictví?	13
75	Kde jsou právní předpisy týkající se ochrany průmyslového vlastnictví?	13
76	Kde najdu  zákony týkající se ochrany průmyslového vlastnictví?	13
77	Kde jsou zákony týkající se ochrany průmyslového vlastnictví?	13
78	Na jaké stránce jsou uvedeny právní předpisy o průmyslovém vlastnictví ?	14
79	Na jaké stránce jsou uvedeny zákony o průmyslovém vlastnictví ?	14
80	Na jaké stránce jsou uvedeny právní předpisy o průmyslových právech?	14
81	Na jaké stránce jsou uvedeny zákony o průmyslových právech?	14
82	Kde jsou právní předpisy o patentech ?	14
83	Kde jsou zákony o patentech ?	14
84	Kde jsou právní předpisy o průmyslových vzorech ?	14
85	Kde jsou zákony o průmyslových vzorech ?	14
86	Kde jsou právní předpisy o užitných vzorech ?	14
87	Kde jsou zákony o užitných vzorech ?	14
88	Kde jsou právní předpisy o ochranných známkách?	14
89	Kde jsou zákony o ochranných známkách?	14
90	Mezinárodní právní předpisy .	14
91	Mezinárodní zákony.	14
92	Kde najdu mezinárodní právní předpisy ?	14
93	Kde mohu najít mezinárodní právní předpisy ?	14
94	Kde můžu najít mezinárodní právní předpisy ?	14
95	Kde najdu  zákony?	14
96	Kde mohu najít  zákony?	14
97	Kde můžu najít zákony?	14
98	Právní předpisy EU .	14
99	zákony EU .	14
100	Právní předpisy  Evropské unie.	14
101	zákony Evropské unie.	14
102	Kde najdu evropské právní předpisy ?	14
103	Kde najdu evropské zákony?	14
104	Jaké jsou předpisy EU ?	14
105	Jaké jsou zákony EU ?	14
106	Jaké jsou předpisy  Evropské unie?	14
107	Jaké jsou zákony Evropské unie?	14
108	Kde najdu právní předpisy ?	14
109	Kde jsou dostupné právní předpisy ?	14
110	Kde najdu  zákony?	14
111	Kde jsou dostupné zákony?	14
112	právní předpisy	14
113	zákony	14
114	přehled právních předpisů	14
115	přehled zákonů	14
116	Kde mohu najít kontakty na Úřad?	15
117	Kde najdu kontakty?	15
118	základní kontakty na úřad	15
119	Má úřad infocentrum?	15
120	jak kontaktovat Úřad průmyslového vlastnictví ?	15
121	jak kontaktovat UPV?	15
122	Kde najdu informace o provozu podatelny Úřadu?	15
123	Kde jsou informace o provozu podatelny Úřadu?	15
124	Kde najdu podatelnu úřadu?	15
125	Kde je podatelna úřadu?	15
126	Kde se mohu obrátit s dotazy týkajícími se průmyslového práva?	15
127	kam se mohu obrátit s dotazy týkajícími se průmyslového práva?	15
128	Kdo mi může poskytnout všeobecné informace ?	15
129	Kdo mi může poskytnout obecné informace ?	15
130	Kde najdu infocentrum?	15
131	Kde je infocentrum?	15
132	Kde najdu pomoc s přihláškou?	16
133	Kde mohu najít pomoc s přihláškou?	16
134	Kdo mi poskytne odborné zastoupení?	16
135	Kdo mi může poskytnout odborné zastoupení?	16
136	Je nějaké odborné zastoupení?	16
137	kde najdu odborné zastoupení?	16
138	Může mi někdo pomoci s přihláškou ?	16
139	Může mi někdo pomoci s přihlašováním?	16
140	patentoví zástupci	16
141	Kdo mi pomůže s přihláškou?	16
142	Kdo může pomoci s přihláškou?	16
143	pomoc s přihláškou	16
144	pomoc s podáním	16
145	Může úřad pomoci s přihláškou?	16
146	Může úřad pomoct s přihláškou?	16
147	Jak postupovat při prodloužení platnosti patentu?	17
148	Jak se postupuje při prodloužení platnosti patentu?	17
149	Jak udržet patent v platnosti?	17
150	Jak udržovat patent v platnosti?	17
151	Jak prodloužit patent?	17
152	Jak obnovit patent?	17
153	Podává se k prodloužení patentu žádost?	18
154	Podává se k obnově patentu žádost?	18
155	Jak udržet užitný vzor v platnosti?	19
156	Jak udržovat užitný vzor v platnosti?	19
157	Jak prodloužit užitný vzor?	19
158	Jak obnovit užitný vzor?	19
159	Jak udržet průmyslový vzor v platnosti?	20
160	Jak udržovat průmyslový vzor v platnosti?	20
161	Jak prodloužit průmyslový vzor?	20
162	Jak obnovit průmyslový vzor?	20
163	poplatky za udržování průmyslového vzoru v platnosti	20
164	poplatek za udržování průmyslového vzoru v platnosti	20
165	kolik stojí za udržování průmyslového vzoru v platnosti	20
166	Podává se k prodloužení průmyslového vzoru žádost?	20
167	Podává se k obnově průmyslového vzoru žádost?	20
168	Jak udržet ochrannou známku v platnosti?	21
169	Jak udržovat ochrannou známku v platnosti?	21
170	Jak prodloužit ochrannou známku?	21
171	Jak obnovit ochrannou známku?	21
172	Podává se k prodloužení ochranné známky žádost?	21
173	Podává se k obnově ochranné známky žádost?	21
174	Jak se prodlužuje platnost zápisu ochranné známky?	21
175	Je možné změnit přihlašovatele přihlášky nebo majitele průmyslového práva?	22
176	Jaký je postup pro změnu přihlašovatele přihlášky nebo majitele průmyslového práva?	22
177	Je potřeba pro převod práva nějaký formulář?	22
178	Je podává se pro převod práva nějaký formulář?	22
179	Jak změnit přihlašovatele průmyslového práva?	22
180	Jak změnit majitele průmyslového práva?	22
181	Co je potřeba k žádosti o změnu přihlašovatele přihlášky nebo majitele průmyslového práva?	22
182	poplatek za převod průmyslového práva?	23
183	kolik stojí převod průmyslového práva?	23
184	Jaká je výše poplatku za změnu přihlašovatele přihlášky nebo majitele průmyslového práva?	23
185	jaký je poplatek za změnu přihlašovatele přihlášky nebo majitele průmyslového práva?	23
186	kolik stojí za změnu přihlašovatele přihlášky nebo majitele průmyslového práva?	23
187	Může dojít k nabytí práva na základě jiných skutečností než projevu vůle?	23
188	Je přechod práva zpoplatněn?	23
189	Kdy je převod práva účinným?	24
190	Co je licence?	25
191	Jak je možné získat licenci?	25
192	Co se předkládá k žádosti o zápis licence?	25
193	Co je třeba přiložit k žádosti o zápis licence?	25
194	Jaký je postup při žádosti o zápis licence?	25
195	Co je prohlášení o nabídce licence?	26
196	Co znamená prohlášení o nabídce licence?	26
197	prohlášení o nabídce licence	26
198	Kolik stojí zápis licence?	27
199	poplatek za zápis licence?	27
200	Kdo má právo nahlížet do spisu?	28
201	Jak nahlížet do spisu?	28
202	Jak nahlédnout do spisu?	28
203	Co je důvodem pro nahlédnutí do spisu?	28
204	Jaký je postup pro nahlížení do spisu?	28
205	Kdo může nahlížet do spisu?	28
206	Kdo je oprávněn nahlížet do spisu?	28
207	žádost o nahlížení do spisu	28
208	nahlížení do spisu	28
209	jak postupovat při nahlížení do spisu?	28
210	Jak požádat o výpis.	29
211	Co uvést v žádosti o výpis z rejstříku?	29
212	Jaký je rozdíl mezi aktuálním a úplným výpisem?	29
213	Kolik stojí za výpis?	29
214	Jaký je poplatek za výpis?	29
215	jak požádat o opis?	30
216	Kolik stojí za opis?	30
217	Jaký je poplatek za opis?	30
218	Kdo může požádat o opis listiny?	30
219	Co obsahuje opis?	30
220	osvědčení o zápisu	30
221	opis patentové listiny	30
222	K čemu slouží prioritní doklad?	31
223	Co je prioritní doklad?	31
224	Je možné se odvolat proti rozhodnutí Úřadu?	32
225	Můžu se odvolat proti rozhodnutí Úřadu?	32
226	Jaká je lhůta pro podání rozkladu?	32
227	Jaký je postup, pokud nesouhlasím s rozhodnutím Úřadu?	32
228	Lze proti rozhodnutí Úřadu podat rozklad?	32
229	je možné proti rozhodnutí Úřadu podat rozklad?	32
230	můžu proti rozhodnutí Úřadu podat rozklad?	32
231	Je možné podat odvolání?	32
232	Můžu se odvolat proti rozhodnutí Úřadu i po zmeškané lhůtě?	32
233	odvolání	32
234	rozklad	32
235	opravné řízení proti rozhodnutí Úřadu	32
236	Jak podat odvolání ?	32
237	Jak podat rozklad?	32
238	Co mám dělat, pokud dojde k porušení mého patentu ?	33
239	Co můžu dělat, pokud dojde k porušení mého patentu ?	33
240	Co mám dělat, pokud dojde k porušení mého práva?	33
241	Co můžu dělat, pokud dojde k porušení mého práva?	33
242	Jaké jsou možnosti , pokud někdo neoprávněně zasáhne do mého průmyslového vlastnictví?	33
243	co mám dělat , pokud někdo neoprávněně zasáhne do mého průmyslového vlastnictví?	33
244	jak postupovat, pokud někdo neoprávněně zasáhne do mého průmyslového vlastnictví?	33
245	Jaké jsou možnosti , když někdo neoprávněně zasáhne do mého průmyslového vlastnictví?	33
246	co mám dělat , když někdo neoprávněně zasáhne do mého průmyslového vlastnictví?	33
247	jak postupovat, když někdo neoprávněně zasáhne do mého průmyslového vlastnictví?	33
248	neoprávněný zásah do práv	33
249	neoprávněný zásah do práv z duševního vlastnictví	33
250	náhrada škody	33
251	Kde mohu najít informace o vymáhání práv?	33
252	Kde najdu informace o vymáhání práv?	33
253	porušení práv	33
254	Na koho se mohu obrátit, při porušování práv duševního vlastnictví?	33
255	Na koho se mám obrátit, při porušování práv duševního vlastnictví?	33
256	Na koho se mohu obrátit, při porušení práv duševního vlastnictví?	33
257	Na koho se mám obrátit, při porušení práv duševního vlastnictví?	33
258	porušení práv z průmyslového vlastnictví	33
259	Kam se obrátit při porušování práv z duševního vlastnictví?	33
260	Kam se obrátit při porušení práv z duševního vlastnictví?	33
261	vymáhání práv	33
262	Kdo může požadovat náhradu škody v případě porušení průmyslových práv?	33
263	Kdo je oprávněn požadovat náhradu škody v případě porušení průmyslových práv?	33
264	Kdo může vymáhat práva z průmyslového vlastnictví?	33
265	Kdo je oprávněn vymáhat práva z průmyslového vlastnictví?	33
266	Může Úřad rozhodnout o sporu týkajícího se patentu ?	34
267	Může Úřad rozhodnout o sporu o patent?	34
268	Může Úřad rozhodnout o sporu ohledně patentu?	34
269	Jak postupovat v případě sporu o využití patentu nebo užitného vzoru?	35
270	Jak se postupuje v případě sporu o využití patentu nebo užitného vzoru?	35
271	spor o patent	35
272	spor v případě patentu	35
273	spor o využití patentu	35
274	spor o patentu	35
275	spor týkající se patentu	35
276	spor o užitný vzor	35
277	spor v případě užitného vzoru	35
278	spor o využití užitného vzoru	35
279	spor týkající se užitného vzoru	35
280	Co dělat v případě sporu o patent ?	35
281	Jak postupovat v případě sporu o patent ?	35
282	Co dělat v případě sporu o užitný vzor?	35
283	Jak postupovat v případě sporu o užitný vzor?	35
284	Jak může Úřad pomoci ve sporu o patent ?	35
285	Jak může Úřad pomoci ve sporu o užitný vzor ?	35
286	Jak může Úřad pomoci ve sporu týkajícím se patentu ?	35
287	Jak může Úřad pomoci ve sporu týkajícím se užitného vzoru ?	35
288	možnosti ve sporu	35
289	Kde najdu informace o postupu v případě sporu?	35
290	Kde najít informace o postupu v případě sporu?	35
291	spor	35
292	definice ochranné známky?	36
293	Co může být považováno za ochrannou známku?	36
294	Co je ochranná známka?	36
295	Co je funkcí ochranné známky?	36
296	ochranná známka	36
297	Jaké prvky mohou tvořit ochrannou známku?	36
298	Jaké prvky tvoří ochrannou známku?	36
299	prvky ochranné známky	36
300	"Co se myslí termínem ""ochranná známka""?"	36
301	K čemu slouží ochranná známka?	36
302	odlišení výrobků a služeb od konkurence	36
303	Existují databáze se seznamem starších ochranných známek?	37
304	kde najdu starší ochranné známky?	37
305	Jak začít, když chci zapsat ochrannou známku?	37
306	Kde začít, když chci zapsat ochrannou známku?	37
307	Jak začít, když chci registrovat ochrannou známku?	37
308	Kde začít, když chci registrovat ochrannou známku?	37
309	Můžu si nechat provést rešerši před podáním přihlášky ochranné známky?	38
310	můžu si objednat rešerši ochranné známky?	38
311	Jak objednám rešerši ochranné známky?	38
312	Jaké rešeršní služby ochranných známek poskytuje Úřad?	38
313	typy rešerší ochranných známek provádí úřad	38
314	jak podat žádost o rešerši ochranné známky u Úřadu?	38
315	jak objednat rešerši ochranné známky?	38
316	Jaký je postup pro objednání písemné rešerše u Úřadu?	38
317	Co je rešerše na slovní označení?	39
318	Co zahrnuje rešerše na slovní označení?	39
319	Jak urychlit rešerši?	40
320	expresní rešerše ochranné známky	40
321	Jak dlouho trvá zpracování rešerše ochranné známky Úřadem?	41
322	kolik stojí rešerši ochranné známky?	41
323	poplatek za rešerši ochranné známky?	41
324	ceník rešeršních služeb	41
325	Kolik stojí rešerše ochranné známky?	41
326	ceník pro rešeršní služby Úřadu?	41
327	Jaký je správní poplatek za přijetí přihlášky ochranné známky?	42
328	kolik stojí přijetí přihlášky ochranné známky?	42
329	poplatek za podání přihlášky ochranné známky	42
330	poplatky za podání přihlášky ochranné známky	42
331	ceník za podání přihlášky ochranné známky	42
332	Jak mohu zaplatit správní poplatek za podání přihlášky ochranné známky?	42
333	Jak lze zaplatit správní poplatek za podání přihlášky ochranné známky?	42
334	Jaké jsou náklady na registraci kolektivní ochranné známky?	42
335	Existují nějaké slevy na správní poplatek při elektronickém podání ochranné známky?	42
336	Jak dlouho platí ochranná známka?	43
337	Jak dlouho je platná ochranná známka?	43
338	Jak mohu prodloužit platnost ochranné známky?	43
339	Jak je možné prodloužit platnost ochranné známky?	43
340	poplatek za podání žádosti o obnovu platnosti ochranné známky?	44
341	Kde mohu najít databázi ochranných známek?	45
342	Kde lze najít databázi ochranných známek?	45
343	Má Úřad veřejně dostupnou databázi ochranných známek?	45
344	Jakým způsobem mohu prohledávat ochranné známky?	45
345	Jak mohu prohledávat ochranné známky?	45
346	Kde najdu přehled ochranných známek?	45
347	Jak zjistím , zda moje značka je již registrována?	45
348	Jak  mohu zjistit, zda moje značka je již registrována?	45
349	Jak zjistím , jestli moje značka je již registrována?	45
350	Jak  mohu zjistit, jestli moje značka je již registrována?	45
351	Jak zjistím , že moje značka je již registrována?	45
352	Jak  mohu zjistit, že moje značka je již registrována?	45
353	Kde mohu nalézt ochranné známky Evropské unie?	45
354	Kde najdu ochranné známky Evropské unie?	45
355	Kde jsou ochranné známky Evropské unie?	45
356	Kde můžu najít ochranné známky Evropské unie?	45
357	Jak se mohu podívat na ochranné známky registrované v zahraničí?	45
358	kde se mohu podívat na ochranné známky registrované v zahraničí?	45
359	Jak  najdu ochranné známky registrované v zahraničí?	45
360	kde najdu ochranné známky registrované v zahraničí?	45
361	Jak  najít ochranné známky registrované v zahraničí?	45
362	kde najít ochranné známky registrované v zahraničí?	45
363	zahraniční databáze ochranných známek	45
364	mezinárodní databáze ochranných známek	45
365	Jak přihlásit mezinárodní ochranné známky?	46
366	Jak podat přihlášku mezinárodní ochranné známky?	46
367	Jak postupovat při zápisu mezinárodní ochranné známky?	46
368	Jak přihlásit  zahraniční ochranné známky?	46
369	Jak podat přihlášku  zahraniční ochranné známky?	46
370	Jak postupovat při zápisu zahraniční ochranné známky?	46
371	Kdo může podat žádost o mezinárodní zápis ochranné známky?	46
372	Kdo může podat žádost o zahraniční zápis ochranné známky?	46
373	mezinárodní ochranná známka	46
374	zahraniční ochranná známka	46
375	obnovení mezinárodní ochranné známky	46
376	obnovení zahraniční ochranné známky	46
377	Kde můžu najít informace o mezinárodní ochranné známce?	46
378	Kde mohu najít informace o mezinárodní ochranné známce?	46
379	Kde najdu informace o mezinárodní ochranné známce?	46
380	Kde jsou informace o mezinárodní ochranné známce?	46
381	Kde můžu najít informace o zahraniční ochranné známce?	46
382	Kde mohu najít informace o zahraniční ochranné známce?	46
383	Kde najdu informace o zahraniční ochranné známce?	46
384	Kde jsou informace o zahraniční ochranné známce?	46
385	Jak funguje mezinárodní zápis ochranných známek?	46
386	Jak funguje zahraniční zápis ochranných známek?	46
387	Co je Protokol k Madridské dohodě ?	46
388	Co je Madrid?	46
389	Kde přihlásit mezinárodní ochrannou známku?	46
390	Kde přihlásit zahraniční ochrannou známku?	46
391	Je možné přihlásit českou ochrannou známku jako mezinárodní ?	46
392	Je možné přihlásit českou ochrannou známku jako zahraniční?	46
393	doba ochrany mezinárodní ochranné známky	46
394	doba ochrany zahraniční ochranné známky	46
395	Kde můžu najít informace o přihlašování ochranných známek EU ?	47
396	Kde najdu informace o přihlašování ochranných známek EU ?	47
397	Kde jsou informace o přihlašování ochranných známek EU ?	47
398	Kde můžu najít informace o přihlašování ochranných známek Evropské unie?	47
399	Kde najdu informace o přihlašování ochranných známek Evropské unie?	47
400	Kde jsou informace o přihlašování ochranných známek Evropské unie?	47
401	informace ochranných známkách v EU	47
402	informace ochranných známkách v Evropské unii	47
403	registrace evropských ochranných známek EU	47
404	registrace evropských ochranných známek Evropské unie	47
405	přihlašování ochranných známek EU	47
406	přihlašování ochranných známek Evropské unie	47
407	přihláška ochranné známky EU	47
408	registrace ochranné známky EU	47
409	přihláška ochranné známky Evropské unie	47
410	registrace ochranné známky Evropské unie	47
411	Jak se lze dozvědět více o ochraně duševního vlastnictví v EU ?	47
412	Jak se lze dozvědět více o ochraně duševního vlastnictví v Evropské unii?	47
413	Kde mohu najít pokyny k přihlášení ochranné známky v EU ?	47
414	Kde najdu pokyny k přihlášení ochranné známky v EU ?	47
415	Kde jsou pokyny k přihlášení ochranné známky v EU ?	47
416	Kde mohu najít pokyny k přihlášení ochranné známky v Evropské unii?	47
417	Kde najdu pokyny k přihlášení ochranné známky v Evropské unii?	47
418	Kde jsou pokyny k přihlášení ochranné známky v Evropské unii?	47
419	Kdo poskytuje informace o přihlášení ochranných známek v EU ?	47
420	Kdo poskytuje informace o přihlášení ochranných známek v Evropské unii?	47
421	podmínky pro prodloužení platnosti ochranné známky	48
422	Jaký je proces pro prodloužení platnosti ochranné známky?	48
423	Jak postupovat při prodloužení platnosti ochranné známky?	48
424	Jak podat žádost o prodloužení platnosti ochranné známky?	48
425	Jaká je délka ochrany ochranné známky?	48
426	Co je třeba udělat k obnově platnosti ochranné známky?	48
427	Co mám udělat k obnově platnosti ochranné známky?	48
428	délka ochrany ochranné známky	48
429	platnost ochranné známky	48
430	prodloužení zápisu ochranné známky	48
431	obnova platnosti ochranné známky	48
432	Kde mohu najít informace o druzích ochranných známek?	49
433	Kde najdu informace o druzích ochranných známek?	49
434	Kde jsou informace o druzích ochranných známek?	49
435	druhy ochranných známek	49
436	formáty ochranných známek	49
437	Kde mohu najít informace o formátech ochranných známek?	49
438	Kde najdu informace o formátech ochranných známek?	49
439	Kde jsou informace o formátech ochranných známek?	49
440	podání přihlášky ochranné známky	50
441	Jakým způsobem mám podat přihlášku ochranné známky?	50
442	Jakým způsobem mohu podat přihlášku ochranné známky?	50
443	Jakým způsobem můžu podat přihlášku ochranné známky?	50
444	Jakým způsobem je možné podat přihlášku ochranné známky?	50
445	Jakým způsobem mám  registrovat ochranné známky?	50
446	Jakým způsobem mohu  registrovat ochranné známky?	50
447	Jakým způsobem můžu  registrovat ochranné známky?	50
448	Jakým způsobem je možné registrovat ochranné známky?	50
449	Jakým způsobem mám  přihlásit ochranné známky?	50
450	Jakým způsobem mohu  přihlásit ochranné známky?	50
451	Jakým způsobem můžu  přihlásit ochranné známky?	50
452	Jakým způsobem je možné přihlásit ochranné známky?	50
453	Kde lze najít formulář přihlášky ochranné známky?	50
454	Kde mohu najít formulář přihlášky ochranné známky?	50
455	Kde můžu najít formulář přihlášky ochranné známky?	50
456	zápis ochranné známky	50
457	registrace ochranné známky	50
458	přihlášení ochranné známky	50
459	formulář přihlášky ochranné známky	50
460	chci zaregistrovat ochrannou známku	50
461	potřebuji zaregistrovat ochrannou známku	50
462	chci  přihlásit ochrannou známku	50
463	potřebuji přihlásit ochrannou známku	50
464	snížení poplatku při podání přihlášky ochranné známky elektronicky	51
465	sleva na poplatku při podání přihlášky ochranné známky elektronicky	51
466	Je možné podání přihlášky ochranné známky do datové schránky Úřadu?	52
467	Jaké jsou náležitosti národní přihlášky ochranné známky?	53
468	Co musí obsahovat národní přihláška ochranné známky?	53
469	Co by měla obsahovat národní přihláška ochranné známky?	53
470	Co jsou součástí národní přihlášky ochranné známky?	53
471	Jaké informace jsou součástí národní přihlášky ochranné známky?	53
472	Co  musí být součástí národní přihlášky ochranné známky?	53
473	Jaké informace musí být součástí národní přihlášky ochranné známky?	53
474	Co je nutné mít v národní přihlášce ochranné známky?	53
475	Co je potřeba mít v národní přihlášce ochranné známky?	53
476	Co je nutné  uvést v národní přihlášce ochranné známky?	53
477	Co je potřeba uvést v národní přihlášce ochranné známky?	53
478	Co je nutné  vyplnit v národní přihlášce ochranné známky?	53
479	Co je potřeba vyplnit v národní přihlášce ochranné známky?	53
480	Jaké údaje musí být vyplněny v národní přihlášce ochranné známky?	53
481	Jaké údaje musí být uvedeny v národní přihlášce ochranné známky?	53
482	požadavky na národní přihlášku ochranné známky	53
483	Co vše musím uvést v národní přihlášce ochranné známky?	53
484	Co vše musím vyplnit v národní přihlášce ochranné známky?	53
485	Co musí národní přihláška ochranné známky obsahovat?	53
486	Co by měla národní přihláška ochranné známky obsahovat?	53
487	Jakým způsobem se má vyplnit národní přihláška ochranné známky?	53
488	Jakým způsobem vyplnit národní přihláška ochranné známky?	53
489	Jakým způsobem se vyplňuje národní přihláška ochranné známky?	53
490	Co vše je potřeba pro podání národní přihlášky ochranné známky?	53
491	Co vše je nutné pro podání národní přihlášky ochranné známky?	53
492	Co vše se vyžaduje pro podání národní přihlášky ochranné známky?	53
493	Kdo může podat přihlášku ochranné známky?	54
494	Kdo je oprávněn podat přihlášku ochranné známky?	54
495	Jaký je průběh řízení po podání přihlášky ochranné známky?	55
496	Jaký je průběh řízení při podání přihlášky ochranné známky?	55
497	průzkum přihlášky ochranné známky	55
498	přezkum přihlášky ochranné známky	55
499	Co se stane, pokud má přihláška ochranné známky vady?	55
500	vady přihlášky ochranné známky	55
501	věcný průzkum přihlášky ochranné známky	55
502	formální průzkum přihlášky ochranné známky	55
503	vyloučení označení ze zápisu do rejstříku	55
504	Jaký je postup pro podání námitek proti registraci ochranné známky do rejstříku ochranných známek?	56
505	Jaký je postup pro podání námitek proti zápisu ochranné známky do rejstříku ochranných známek?	56
506	Kdo může podat námitky proti zápisu označení ochranné známky do rejstříku?	56
507	Kdo je oprávněn podat námitky proti zápisu označení ochranné známky do rejstříku?	56
508	Kdo má právo podat námitky proti zápisu označení ochranné známky do rejstříku?	56
509	Kdo může podat námitky proti registraci ochranné známky do rejstříku?	56
510	Kdo je oprávněn podat námitky proti registraci ochranné známky do rejstříku?	56
511	Kdo má právo podat námitky proti registraci ochranné známky do rejstříku?	56
512	Jaká je lhůta pro podání námitek proti registraci ochranné známky?	56
513	Jakou lhůtu mám pro podání námitek proti registraci ochranné známky?	56
514	Jaká je lhůta pro podání námitek proti zápisu onačení ochranné známky?	56
515	Jakou lhůtu mám pro podání námitek proti zápisu onačení ochranné známky?	56
516	námitky proti zápisu označení ochranné známky do rejstříku	56
517	námitky proti registraci ochranné známky do rejstříku	56
518	námitky proti zapsané ochranné známky do rejstříku	56
519	námitky proti zaregistrované ochranné známky do rejstříku	56
520	námitky proti přihlášenému označení ochranné známky do rejstříku	56
521	Jaké jsou možnosti doplnění důkazů nebo rozšíření námitkových důvodů v rámci lhůty pro podání námitek?	56
522	poplatek za podání námitek proti registraci ochranné známky?	57
523	poplatek za podání námitek proti přihlášenému označení ochranné známky?	57
524	Jaká je lhůta pro podání námitek proti zapsané ochranné známce?	58
525	Jakou lhůtu mám pro podání námitek proti zapsané ochranné známce?	58
526	lhůta pro podání námitek proti zapsané ochranné známce?	58
527	Jaká je lhůta pro podání námitek proti zaregistrované ochranné známce?	58
528	Jakou lhůtu mám pro podání námitek proti zaregistrované ochranné známce?	58
529	lhůta pro podání námitek proti zaregistrované ochranné známce?	58
530	zrušení ochranné známky	59
531	Kdy je možné podat návrh na zrušení ochranné známky?	59
532	Jak je možné podat návrh na zrušení ochranné známky?	59
533	Jakým způsobem je možné podat návrh na zrušení ochranné známky?	59
534	Kdy  lze podat návrh na zrušení ochranné známky?	59
535	Jak  lze podat návrh na zrušení ochranné známky?	59
536	Jakým způsobem lze podat návrh na zrušení ochranné známky?	59
537	Kdy  můžu podat návrh na zrušení ochranné známky?	59
538	Jak  můžu podat návrh na zrušení ochranné známky?	59
539	Jakým způsobem můžu podat návrh na zrušení ochranné známky?	59
540	návrh na zrušení ochranné známky	59
541	důvody zrušení ochranné známky	60
542	Co znamená, když je ochranná známka zrušená?	61
543	Kdy může být ochranná známka považováná za neplatnou?	62
544	zneplatnění ochranné známky	62
545	návrh na prohlášení ochranné známky za neplatnou	62
546	rozdíl mezi zrušením a neplatností ochranné známky	63
547	Co znamená, pokud je ochranná známka prohlášena za neplatnou?	63
548	důsledky zrušení ochranné známky	63
549	důsledky prohlášení ochranné známky za neplatnou	63
550	Co je možné patentovat?	64
551	Co lze patentovat?	64
552	Co si můžu patentovat?	64
553	Co můžu patentovat?	64
554	Co mohu patentovat?	64
555	Co si mohu patentovat?	64
556	co je patent?	64
557	co je vynález?	64
558	Je možné získat patent na vědecké teorie?	64
559	Lze získat patent na vědecké teorie?	64
560	Můžu získat patent na vědecké teorie?	64
561	Mohu získat patent na vědecké teorie?	64
