	question	class
141	Může mi někdo pomoci s přihláškou ?	6
142	Může mi někdo pomoci s přihlašováním?	6
143	patentoví zástupci	6
144	Kdo mi pomůže s přihláškou?	6
145	Kdo může pomoci s přihláškou?	6
146	pomoc s přihláškou	6
147	pomoc s podáním	6
148	Může úřad pomoci s přihláškou?	6
149	Může úřad pomoct s přihláškou?	6
150	Jak postupovat při prodloužení platnosti patentu?	7
151	Jak se postupuje při prodloužení platnosti patentu?	7
152	Jak udržet patent v platnosti?	7
153	Jak udržovat patent v platnosti?	7
154	Jak prodloužit patent?	7
155	Jak obnovit patent?	7
156	Podává se k prodloužení patentu žádost?	7
157	Podává se k obnově patentu žádost?	7
158	Jak udržet užitný vzor v platnosti?	7
159	Jak udržovat užitný vzor v platnosti?	7
160	Jak prodloužit užitný vzor?	7
161	Jak obnovit užitný vzor?	7
162	poplatky za udržování užitného vzoru v platnosti	7
163	poplatek za udržování užitného vzoru v platnosti	7
164	Podává se k prodloužení užitného vzoru žádost?	7
165	Podává se k obnově užitného vzoru žádost?	7
166	Jak udržet průmyslový vzor v platnosti?	7
167	Jak udržovat průmyslový vzor v platnosti?	7
168	Jak prodloužit průmyslový vzor?	7
169	Jak obnovit průmyslový vzor?	7
170	poplatky za udržování průmyslového vzoru v platnosti	7
171	poplatek za udržování průmyslového vzoru v platnosti	7
172	Podává se k prodloužení průmyslového vzoru žádost?	7
173	Podává se k obnově průmyslového vzoru žádost?	7
174	Jak udržet ochrannou známku v platnosti?	7
175	Jak udržovat ochrannou známku v platnosti?	7
176	Jak prodloužit ochrannou známku?	7
177	Jak obnovit ochrannou známku?	7
178	poplatky za udržování ochranné známky v platnosti	7
179	poplatek za udržování ochranné známky v platnosti	7
180	Podává se k prodloužení ochranné známky žádost?	7
181	Podává se k obnově ochranné známky žádost?	7
182	Kde najdu informace k prodloužení platnosti?	7
183	Kde najdu informace k obnove platnosti?	7
184	Kdy se hradí udržovací poplatek patentu?	7
185	Jak se prodlužuje platnost zápisu ochranné známky?	7
186	Je možné změnit přihlašovatele přihlášky nebo majitele průmyslového práva?	8
187	Jaký je postup pro změnu přihlašovatele přihlášky nebo majitele průmyslového práva?	8
188	Co je potřeba k žádosti o změnu přihlašovatele přihlášky nebo majitele průmyslového práva?	8
189	poplatek spojený s převodem průmyslového práva?	8
190	Jaká je výše poplatku za změnu přihlašovatele přihlášky nebo majitele průmyslového práva?	8
191	jaký je poplatek za změnu přihlašovatele přihlášky nebo majitele průmyslového práva?	8
192	Může dojít k nabytí práva na základě jiných skutečností než projevu vůle?	8
193	Je přechod práva zpoplatněn?	8
194	Jak změnit přihlašovatele průmyslového práva?	8
195	Jak změnit majitele průmyslového práva?	8
196	Kdy je převod práva účinným?	8
197	Je potřeba pro převod práva nějaký formulář?	8
198	Je podává se pro převod práva nějaký formulář?	8
199	Co je licence?	9
200	Jak je možné získat licenci?	9
201	Co se předkládá k žádosti o zápis licence?	9
202	Co je třeba přiložit k žádosti o zápis licence?	9
203	Kolik stojí zápis licence?	9
204	poplatek za zápis licence?	9
205	Jaký je postup při žádosti o zápis licence?	9
206	Co je prohlášení o nabídce licence?	9
207	Co znamená prohlášení o nabídce licence?	9
208	prohlášení o nabídce licence	9
209	Kdo má právo nahlížet do spisu?	10
210	Jak nahlížet do spisu?	10
211	Jak nahlédnout do spisu?	10
212	Co je důvodem pro nahlédnutí do spisu?	10
213	Jaký je postup pro nahlížení do spisu?	10
214	Kdo může nahlížet do spisu?	10
215	Kdo je oprávněn nahlížet do spisu?	10
216	žádost o nahlížení do spisu	10
217	nahlížení do spisu	10
218	jak postupovat při nahlížení do spisu?	10
219	Jak požádat o výpis.	11
220	Co uvést v žádosti o výpis z rejstříku?	11
221	jak požádat o opis?	11
222	Jaký je rozdíl mezi aktuálním a úplným výpisem?	11
223	Jaký je poplatek za výpis a opis?	11
224	Kdo může požádat o opis listiny?	11
225	Co obsahuje opis?	11
226	Co je prioritní doklad?	11
227	K čemu slouží prioritní doklad?	11
228	osvědčení o zápisu	11
229	opis patentové listiny	11
230	Je možné se odvolat proti rozhodnutí Úřadu?	12
231	Můžu se odvolat proti rozhodnutí Úřadu?	12
232	Jaká je lhůta pro podání rozkladu?	12
233	Jaký je postup, pokud nesouhlasím s rozhodnutím Úřadu?	12
234	Lze proti rozhodnutí Úřadu podat rozklad?	12
235	je možné proti rozhodnutí Úřadu podat rozklad?	12
236	můžu proti rozhodnutí Úřadu podat rozklad?	12
237	Je možné podat odvolání?	12
238	Můžu se odvolat proti rozhodnutí Úřadu i po zmeškané lhůtě?	12
239	odvolání	12
240	rozklad	12
241	opravné řízení proti rozhodnutí Úřadu	12
242	Jak podat odvolání ?	12
243	Jak podat rozklad?	12
244	Co mám dělat, pokud dojde k porušení mého patentu ?	13
245	Co můžu dělat, pokud dojde k porušení mého patentu ?	13
246	Co mám dělat, pokud dojde k porušení mého práva?	13
247	Co můžu dělat, pokud dojde k porušení mého práva?	13
248	Jaké jsou možnosti , pokud někdo neoprávněně zasáhne do mého průmyslového vlastnictví?	13
249	co mám dělat , pokud někdo neoprávněně zasáhne do mého průmyslového vlastnictví?	13
250	jak postupovat, pokud někdo neoprávněně zasáhne do mého průmyslového vlastnictví?	13
251	Jaké jsou možnosti , když někdo neoprávněně zasáhne do mého průmyslového vlastnictví?	13
252	co mám dělat , když někdo neoprávněně zasáhne do mého průmyslového vlastnictví?	13
253	jak postupovat, když někdo neoprávněně zasáhne do mého průmyslového vlastnictví?	13
254	neoprávněný zásah do práv	13
255	Kdo může vymáhat práva z průmyslového vlastnictví?	13
256	Kdo je oprávněn vymáhat práva z průmyslového vlastnictví?	13
257	Kde mohu najít informace o vymáhání práv?	13
258	Kde najdu informace o vymáhání práv?	13
259	Na koho se mohu obrátit, při porušování práv duševního vlastnictví?	13
260	Na koho se mám obrátit, při porušování práv duševního vlastnictví?	13
261	Na koho se mohu obrátit, při porušení práv duševního vlastnictví?	13
262	Na koho se mám obrátit, při porušení práv duševního vlastnictví?	13
263	Kam se obrátit při porušování práv z duševního vlastnictví?	13
264	Kam se obrátit při porušení práv z duševního vlastnictví?	13
265	vymáhání práv	13
266	Kdo může požadovat náhradu škody v případě porušení průmyslových práv?	13
267	Kdo je oprávněn požadovat náhradu škody v případě porušení průmyslových práv?	13
268	náhrada škody	13
269	porušení práv	13
270	porušení práv z průmyslového vlastnictví	13
271	neoprávněný zásah do práv z duševního vlastnictví	13
272	Může Úřad rozhodnout o sporu týkajícího se patentu ?	14
273	Může Úřad rozhodnout o sporu o patent?	14
274	Může Úřad rozhodnout o sporu ohledně patentu?	14
275	Jak postupovat v případě sporu o využití patentu nebo užitného vzoru?	14
276	Jak se postupuje v případě sporu o využití patentu nebo užitného vzoru?	14
277	spor o patent	14
278	spor v případě patentu	14
279	spor o využití patentu	14
280	spor o patentu	14
281	spor týkající se patentu	14
282	spor o užitný vzor	14
283	spor v případě užitného vzoru	14
284	spor o využití užitného vzoru	14
285	spor týkající se užitného vzoru	14
286	Co dělat v případě sporu o patent	14
287	Jak postupovat v případě sporu o patent	14
288	Co dělat užitný vzor?	14
289	Jak postupovat užitný vzor?	14
290	Jak může Úřad pomoci ve sporu o patent ?	14
291	Jak může Úřad pomoci ve sporu o užitný vzor ?	14
292	Jak může Úřad pomoci ve sporu týkajícím se patentu ?	14
293	Jak může Úřad pomoci ve sporu týkajícím se užitného vzoru ?	14
294	možnosti ve sporu	14
295	Kde najdu informace o postupu v případě sporu?	14
296	Kde najít informace o postupu v případě sporu?	14
297	spor	14
298	definice ochranné známky?	15
299	Co může být považováno za ochrannou známku?	15
300	Co je ochranná známka?	15
301	Co je funkcí ochranné známky?	15
302	ochranná známka	15
303	Jaké prvky mohou tvořit ochrannou známku?	15
304	Jaké prvky tvoří ochrannou známku?	15
305	prvky ochranné známky	15
306	"Co se myslí termínem ""ochranná známka""?"	15
307	K čemu slouží ochranná známka?	15
308	odlišení výrobků a služeb od konkurence	15
309	Existují databáze se seznamem starších ochranných známek?	16
310	kde najdu starší ochranné známky?	16
311	Jak začít, když chci zapsat ochrannou známku?	16
312	Kde začít, když chci zapsat ochrannou známku?	16
313	Jak začít, když chci registrovat ochrannou známku?	16
314	Kde začít, když chci registrovat ochrannou známku?	16
315	Můžu si nechat provést rešerši před podáním přihlášky ochranné známky?	16
316	můžu si objednat rešerši ochranné známky?	16
317	Jakou urychlit rešerši?	16
318	expresní rešerše ochranné známky	16
319	Jakým způsobem mohu objednat rešeršní služby Úřadu?	16
320	Jak objednám rešerši ochranné známky?	16
321	poplatek za rešerši ochranné známky?	16
322	ceník rešeršních služeb	16
323	ceník pro rešeršní služby Úřadu?	16
324	Jaký je správní poplatek za přijetí přihlášky ochranné známky?	17
325	Jaké jsou náklady na registraci kolektivní ochranné známky?	17
326	poplatek za podání přihlášky ochranné známky	17
327	poplatky za podání přihlášky ochranné známky	17
328	ceník za podání přihlášky ochranné známky	17
329	Jak mohu zaplatit správní poplatek za podání přihlášky ochranné známky?	17
330	Jak lze zaplatit správní poplatek za podání přihlášky ochranné známky?	17
331	Existují nějaké slevy na správní poplatek při elektronickém podání ochranné známky?	17
332	poplatek za podání žádosti o obnovu platnosti ochranné známky?	17
333	Jak dlouho platí	17
334	je platná ochranná známka?	17
335	Jak mohu prodloužit platnost ochranné známky?	17
336	Jak je možné prodloužit platnost ochranné známky?	17
337	Kde mohu najít databázi ochranných známek?	18
338	Kde lze najít databázi ochranných známek?	18
339	Má Úřad veřejně dostupnou databázi ochranných známek?	18
340	Jakým způsobem Jak mohu prohledávat ochranné známky?	18
341	Kde najdu přehled ochranných známek?	18
342	Jak zjistím , zda moje značka je již registrována?	18
343	Jak  mohu zjistit, zda moje značka je již registrována?	18
344	Jak zjistím , jestli moje značka je již registrována?	18
345	Jak  mohu zjistit, jestli moje značka je již registrována?	18
346	Jak zjistím , že moje značka je již registrována?	18
347	Jak  mohu zjistit, že moje značka je již registrována?	18
348	Kde mohu nalézt ochranné známky Evropské unie?	18
349	Kde najdu ochranné známky Evropské unie?	18
350	Kde jsou ochranné známky Evropské unie?	18
351	Kde můžu najít ochranné známky Evropské unie?	18
352	Jak se mohu podívat na ochranné známky registrované v zahraničí?	18
353	kde se mohu podívat na ochranné známky registrované v zahraničí?	18
354	Jak  najdu ochranné známky registrované v zahraničí?	18
355	kde najdu ochranné známky registrované v zahraničí?	18
356	Jak  najít ochranné známky registrované v zahraničí?	18
357	kde najít ochranné známky registrované v zahraničí?	18
358	zahraniční databáze ochranných známek	18
359	rešeršní databázi ochranných známek?	18
360	rešeršní databáze ochranných známek?	18
361	Jaké rešeršní služby ochranných známek poskytuje Úřad?	19
362	typy rešerší ochranných známek provádí úřad	19
363	jak podat žádost o rešerši ochranné známky u Úřadu?	19
364	Jak dlouho trvá zpracování rešerše ochranné známky Úřadem?	19
365	jak objednat rešerši ochranné známky?	19
366	Kolik stojí rešerše ochranné známky?	19
367	Jaký je postup pro objednání písemné rešerše u Úřadu?	19
368	Co jsou to historické rešerše ochranných známek?	19
369	Co je rešerše na slovní označení?	19
370	Co zahrnuje rešerše na slovní označení?	19
371	Jak přihlásit mezinárodní ochranné známky?	20
372	Jak podat přihlášku mezinárodní ochranné známky?	20
373	Jak postupovat při zápisu mezinárodní ochranné známky?	20
374	Kdo může podat žádost o mezinárodní zápis ochranné známky?	20
375	mezinárodní ochranná známka	20
376	obnovení mezinárodní ochranné známky	20
377	Kde můžu najít informace o mezinárodní ochranné známce?	20
378	Kde mohu najít informace o mezinárodní ochranné známce?	20
379	Kde najdu informace o mezinárodní ochranné známce?	20
380	Kde jsou informace o mezinárodní ochranné známce?	20
381	Jak funguje mezinárodní zápis ochranných známek?	20
382	Co je Protokol k Madridské dohodě ?	20
383	Co je Madrid?	20
384	Kde přihlásit mezinárodní ochrannou známku?	20
385	Je možné přihlásit českou ochrannou známku jako mezinárodní?	20
386	doba ochrany mezinárodní ochranné známky	20
387	Kde můžu najít informace o přihlašování ochranných známek EU ?	21
388	Kde najdu informace o přihlašování ochranných známek EU ?	21
389	Kde jsou informace o přihlašování ochranných známek EU ?	21
390	Kde můžu najít informace o přihlašování ochranných známek Evropské unie?	21
391	Kde najdu informace o přihlašování ochranných známek Evropské unie?	21
392	Kde jsou informace o přihlašování ochranných známek Evropské unie?	21
393	informace ochranných známkách v EU	21
394	informace ochranných známkách v Evropské unii	21
395	registrace evropských ochranných známek EU	21
396	registrace evropských ochranných známek Evropské unie	21
397	přihlašování ochranných známek EU	21
398	přihlašování ochranných známek Evropské unie	21
399	přihláška ochranné známky EU	21
400	registrace ochranné známky EU	21
401	přihláška ochranné známky Evropské unie	21
402	registrace ochranné známky Evropské unie	21
403	Jak se lze dozvědět více o ochraně duševního vlastnictví v EU ?	21
404	Jak se lze dozvědět více o ochraně duševního vlastnictví v Evropské unii?	21
405	Kde mohu najít pokyny k přihlášení ochranné známky v EU ?	21
406	Kde najdu pokyny k přihlášení ochranné známky v EU ?	21
407	Kde jsou pokyny k přihlášení ochranné známky v EU ?	21
408	Kde mohu najít pokyny k přihlášení ochranné známky v Evropské unii?	21
409	Kde najdu pokyny k přihlášení ochranné známky v Evropské unii?	21
410	Kde jsou pokyny k přihlášení ochranné známky v Evropské unii?	21
411	Kdo poskytuje informace o přihlášení ochranných známek v EU ?	21
412	Kdo poskytuje informace o přihlášení ochranných známek v Evropské unii?	21
413	Jak dlouho platí ochranná známka?	22
414	podmínky pro prodloužení platnosti ochranné známky	22
415	Jaký je proces pro prodloužení platnosti ochranné známky?	22
416	Jak postupovat při prodloužení platnosti ochranné známky?	22
417	Jak podat žádost o prodloužení platnosti ochranné známky?	22
418	Jaká je délka ochrany ochranné známky?	22
419	Co je třeba udělat k obnově platnosti ochranné známky?	22
420	Co mám udělat k obnově platnosti ochranné známky?	22
421	délka ochrany ochranné známky	22
422	platnost ochranné známky	22
423	prodloužení zápisu ochranné známky	22
424	obnova platnosti ochranné známky	22
425	Kde mohu najít informace o druzích ochranných známek?	23
426	Kde najdu informace o druzích ochranných známek?	23
427	Kde jsou informace o druzích ochranných známek?	23
428	druhy ochranných známek	23
429	formáty ochranných známek	23
430	Kde mohu najít informace o formátech ochranných známek?	23
431	Kde najdu informace o formátech ochranných známek?	23
432	Kde jsou informace o formátech ochranných známek?	23
433	Můžete mi poradit, kde najdu informace o ochranných známkách?	23
434	Jak podat přihlášku ochranné známky?	24
435	Jak mám podat přihlášku ochranné známky?	24
436	Jak mohu podat přihlášku ochranné známky?	24
437	Jak můžu podat přihlášku ochranné známky?	24
438	Jak je možné podat přihlášku ochranné známky?	24
439	podání přihlášky ochranné známky	24
440	Jakým způsobem podat přihlášku ochranné známky?	24
441	Jakým způsobem mám podat přihlášku ochranné známky?	24
442	Jakým způsobem mohu podat přihlášku ochranné známky?	24
443	Jakým způsobem můžu podat přihlášku ochranné známky?	24
444	Jakým způsobem je možné podat přihlášku ochranné známky?	24
445	Kde lze najít formulář přihlášky ochranné známky?	24
446	Kde mohu najít formulář přihlášky ochranné známky?	24
447	Kde můžu najít formulář přihlášky ochranné známky?	24
448	snížení poplatku při podání přihlášky ochranné známky elektronicky	24
449	sleva na poplatku při podání přihlášky ochranné známky elektronicky	24
450	přihláška ochranné známky	24
451	Je možné podání přihlášky ochranné známky do datové schránky Úřadu?	24
452	zápis ochranné známky	24
453	formulář přihlášky ochranné známky	24
454	Jaké jsou náležitosti přihlášky ochranné známky?	25
455	Co musí obsahovat přihláška ochranné známky?	25
456	Co by měla obsahovat přihláška ochranné známky?	25
457	Co jsou součástí přihlášky ochranné známky?	25
458	Jaké informace jsou součástí přihlášky ochranné známky?	25
459	Co  musí být součástí přihlášky ochranné známky?	25
460	Jaké informace musí být součástí přihlášky ochranné známky?	25
461	Co je nutné mít v přihlášce ochranné známky?	25
462	Co je potřeba mít v přihlášce ochranné známky?	25
463	Co je nutné  uvést v přihlášce ochranné známky?	25
464	Co je potřeba uvést v přihlášce ochranné známky?	25
465	Co je nutné  vyplnit v přihlášce ochranné známky?	25
466	Co je potřeba vyplnit v přihlášce ochranné známky?	25
467	Jaké údaje musí být vyplněny v přihlášce ochranné známky?	25
468	Jaké údaje musí být uvedeny v přihlášce ochranné známky?	25
469	požadavky na přihlášku ochranné známky	25
470	Co vše musím uvést v přihlášce ochranné známky?	25
471	Co vše musím vyplnit v přihlášce ochranné známky?	25
472	Co musí přihláška ochranné známky obsahovat?	25
473	Co by měla přihláška ochranné známky obsahovat?	25
474	Jakým způsobem se má vyplnit přihláška ochranné známky?	25
475	Jakým způsobem vyplnit přihláška ochranné známky?	25
476	Jakým způsobem se vyplňuje přihláška ochranné známky?	25
477	Co vše je potřeba pro podání přihlášky ochranné známky?	25
478	Co vše je nutné pro podání přihlášky ochranné známky?	25
479	Co vše se vyžaduje pro podání přihlášky ochranné známky?	25
480	Jaký je průběh řízení po podání přihlášky ochranné známky?	26
481	Jaký je průběh řízení při podání přihlášky ochranné známky?	26
482	průzkum přihlášky ochranné známky	26
483	přezkum přihlášky ochranné známky	26
484	Co se stane, pokud má přihláška ochranné známky vady?	26
485	vady přihlášky ochranné známky	26
486	věcný průzkum přihlášky ochranné známky	26
487	formální průzkum přihlášky ochranné známky	26
488	vyloučení označení ze zápisu do rejstříku	26
489	Kdo může podat přihlášku ochranné známky?	26
490	Kdo je oprávněn podat přihlášku ochranné známky?	26
491	Jaké kroky následují po zveřejnění přihlášky ochranné známky ve Věstníku?	26
492	Co následuje po zveřejnění přihlášky ochranné známky ve Věstníku?	26
493	Co je zasláno vlastník ochranné známky po jejím zápisu?	26
494	Jaký dokument je zasláno vlastník ochranné známky po jejím zápisu?	26
495	Co  je zaslán vlastník ochranné známky po jejím zápisu?	26
496	Jaký dokument je zaslán vlastník ochranné známky po jejím zápisu?	26
497	Co  obdrží vlastník ochranné známky po jejím zápisu?	26
498	Jaký dokument obdrží vlastník ochranné známky po jejím zápisu?	26
499	Co  dostane vlastník ochranné známky po jejím zápisu?	26
500	Jaký dokument dostane vlastník ochranné známky po jejím zápisu?	26
501	Jaký je postup pro podání námitek proti registraci ochranné známky do rejstříku ochranných známek?	27
502	Jaký je postup pro podání námitek proti zápisu ochranné známky do rejstříku ochranných známek?	27
503	Kdo může podat námitky proti zápisu označení ochranné známky do rejstříku?	27
504	Kdo je oprávněn podat námitky proti zápisu označení ochranné známky do rejstříku?	27
505	Kdo má právo podat námitky proti zápisu označení ochranné známky do rejstříku?	27
506	Kdo může podat námitky proti registraci ochranné známky do rejstříku?	27
507	Kdo je oprávněn podat námitky proti registraci ochranné známky do rejstříku?	27
508	Kdo má právo podat námitky proti registraci ochranné známky do rejstříku?	27
509	Jaká je lhůta pro podání námitek proti registraci ochranné známky?	27
510	Jakou lhůtu mám pro podání námitek proti registraci ochranné známky?	27
511	Jaká je lhůta pro podání námitek proti zápisu onačení ochranné známky?	27
512	Jakou lhůtu mám pro podání námitek proti zápisu onačení ochranné známky?	27
513	námitky proti zápisu označení ochranné známky do rejstříku	27
514	námitky proti registraci ochranné známky do rejstříku	27
515	námitky proti zapsané ochranné známky do rejstříku	27
516	námitky proti zaregistrované ochranné známky do rejstříku	27
517	námitky proti přihlášenému označení ochranné známky do rejstříku	27
518	Jaké jsou možnosti doplnění důkazů nebo rozšíření námitkových důvodů v rámci lhůty pro podání námitek?	27
519	poplatek za podání námitek proti registraci ochranné známky?	27
520	poplatek za podání námitek proti přihlášenému označení ochranné známky?	27
521	Jaká je lhůta pro podání námitek proti zapsané ochranné známce?	27
522	Jakou lhůtu mám pro podání námitek proti zapsané ochranné známce?	27
523	lhůta pro podání námitek proti zapsané ochranné známce?	27
524	Jaká je lhůta pro podání námitek proti zaregistrované ochranné známce?	27
525	Jakou lhůtu mám pro podání námitek proti zaregistrované ochranné známce?	27
526	lhůta pro podání námitek proti zaregistrované ochranné známce?	27
527	zrušení ochranné známky	28
528	Kdy je možné podat návrh na zrušení ochranné známky?	28
529	Jak je možné podat návrh na zrušení ochranné známky?	28
530	Jakým způsobem je možné podat návrh na zrušení ochranné známky?	28
531	Kdy  lze podat návrh na zrušení ochranné známky?	28
532	Jak  lze podat návrh na zrušení ochranné známky?	28
533	Jakým způsobem lze podat návrh na zrušení ochranné známky?	28
534	Kdy  můžu podat návrh na zrušení ochranné známky?	28
535	Jak  můžu podat návrh na zrušení ochranné známky?	28
536	Jakým způsobem můžu podat návrh na zrušení ochranné známky?	28
537	důvody mohou ke zrušení ochranné známky	28
538	Co znamená, když je ochranná známka zrušená?	28
539	Kdy může být ochranná známka považováná za neplatnou?	28
540	návrh na zrušení ochranné známky	28
541	návrh na prohlášení ochranné známky za neplatnou	28
542	rozdíl mezi zrušením a neplatností ochranné známky	28
543	Co znamená, pokud je ochranná známka prohlášena za neplatnou?	28
544	důsledky zrušení ochranné známky	28
545	důsledky prohlášení ochranné známky za neplatnou	28
546	Co je možné patentovat?	29
547	Co lze patentovat?	29
548	Co si můžu patentovat?	29
549	Co můžu patentovat?	29
550	Co mohu patentovat?	29
551	Co si mohu patentovat?	29
552	co je patent?	29
553	co je vynález?	29
554	Je možné získat patent na vědecké teorie?	29
555	Lze získat patent na vědecké teorie?	29
556	Můžu získat patent na vědecké teorie?	29
557	Mohu získat patent na vědecké teorie?	29
